# 经营范围规范表述目录（征求意见稿）
# 来源：P020210316361615430877.pdf；每行：条目代码	规范表述	对应行业分类	原始监管信息
F4006	离岸贸易经营	5189其他贸易经纪与代理 对外贸易经营者备案登记; 对外贸易经营者备案登记（自贸区适 用） 石油、天然气、页岩气、 煤层气对外合作专营；对 外合作项目（含风险勘探 区块、合作开发区块和总 体开发方案）由指定公司	离岸贸易经营 5189其他贸易经纪与代理 对外贸易经营者备案登记; 对外贸易经营者备案登记（自贸区适 用） 石油、天然气、页岩气、 煤层气对外合作专营；对 外合作项目（含风险勘探 区块、合作开发区块和总 体开发方案）由指定公司
G1002	公共铁路运输	531铁路旅客运输；532铁路货物运输；581多式联运 铁路运输企业准入	公共铁路运输 531铁路旅客运输；532铁路货物运输；581多式联运 铁路运输企业准入许可; 铁路运输企业准入许可 铁路运输企业准入许可
G1003	铁路运输辅助活动	533铁路运输辅助活动	铁路运输辅助活动 533铁路运输辅助活动
G1004	城市公共交通	5411公共电汽车客运；5412城市轨道交通 道路旅客运输经营	城市公共交通 5411公共电汽车客运；5412城市轨道交通 道路旅客运输经营许可; 道路旅客运输经营许可 道路旅客运输经营许可 （含国际道路）、道路货 运经营许可（不包含总质 量4500千克及以下普通货
G2001	道路旅客运输经营	5411公共电汽车客运；5412城市轨道交通；5419其他城市公 共交通运输；5421长途客运；5422旅游客运；5429其他公路 客运 道路旅客运输经营	道路旅客运输经营 5411公共电汽车客运；5412城市轨道交通；5419其他城市公 共交通运输；5421长途客运；5422旅游客运；5429其他公路 客运 道路旅客运输经营许可; 道路旅客运输经营许可 道路旅客运输经营许可 （含国际道路）、道路货 运经营许可（不包含总质 量4500千克及以下普通货
G2002	巡游出租汽车经营服务	5413出租车客运 出租汽车车辆运营证	巡游出租汽车经营服务 5413出租车客运 出租汽车车辆运营证核发;出租汽车经 营许可; 出租汽车车辆运营证核发出租汽车经 营许可 出租汽车经营资格证、车 辆运营证核发
G2003	网络预约出租汽车经营服务	5413出租车客运 出租汽车经营	网络预约出租汽车经营服务 5413出租车客运 出租汽车经营许可;出租汽车车辆运营 证核发; 出租汽车经营许可出租汽车车辆运营 证核发 出租汽车经营资格证、车 辆运营证核发
G2004	国际道路旅客运输	5421长途客运；5422旅游客运 国际道路旅客运输	国际道路旅客运输 5421长途客运；5422旅游客运 国际道路旅客运输许可; 国际道路旅客运输许可;
G2005	道路货物运输（不含危险货 物）	5431普通货物道路运输；5432冷藏车道路运输；5433集装箱 道路运输；5434大型货物道路运输；5436邮件包裹道路运 输；5437城市配送；5438搬家运输；5439其他道路货物运 输；581多式联运 道路货运经营	道路货物运输（不含危险货 物） 5431普通货物道路运输；5432冷藏车道路运输；5433集装箱 道路运输；5434大型货物道路运输；5436邮件包裹道路运 输；5437城市配送；5438搬家运输；5439其他道路货物运 输；581多式联运 道路货运经营许可; 道路货运经营许可 道路旅客运输经营许可 （含国际道路）、道路货 运经营许可（不包含总质 量4500千克及以下普通货
G2006	生鲜乳道路运输	5432冷藏车道路运输 道路货运经营	生鲜乳道路运输 5432冷藏车道路运输 道路货运经营许可;生鲜乳准运证明核 发; 道路货运经营许可生鲜乳准运证明核 发 道路旅客运输经营许可 （含国际道路）、道路货 运经营许可（不包含总质 量4500千克及以下普通货 运车辆从事普通货运经
G2007	道路货物运输（含危险货物）	5435危险货物道路运输 道路货运经营	道路货物运输（含危险货物） 5435危险货物道路运输 道路货运经营许可;危险货物运输经营 许可; 道路货运经营许可危险货物运输经营 许可 道路旅客运输经营许可 （含国际道路）、道路货 运经营许可（不包含总质 量4500千克及以下普通货
G2008	放射性物品道路运输	5435危险货物道路运输 放射性物品道路运输经营	放射性物品道路运输 5435危险货物道路运输 放射性物品道路运输经营许可; 放射性物品道路运输经营许可 放射性物品运输及道路运 输经营许可、核乏燃料道
G2009	核材料运输	5435危险货物道路运输 核材料	核材料运输 5435危险货物道路运输 核材料许可证核发; 核材料许可证核发 持有、使用、生产、储存 、运输和处置核材料（含
G2010	民用核材料运输	5435危险货物道路运输 道路货运经营	民用核材料运输 5435危险货物道路运输 道路货运经营许可;民用核材料许可证 核准; 道路货运经营许可民用核材料许可证 核准 道路旅客运输经营许可 （含国际道路）、道路货 运经营许可（不包含总质 量4500千克及以下普通货
G2011	弩运输	5439其他道路货物运输 弩的制造、销售、进口、运输、使用审 批（制造、销售、进口、或营业性射击 场开设弩射项目）;道路货运经营	弩运输 5439其他道路货物运输 弩的制造、销售、进口、运输、使用审 批（制造、销售、进口、或营业性射击 场开设弩射项目）;道路货运经营许可; 弩的制造、销售、进口、运输、使用审 批（运输、除营业性射击场开设弩射项 目外的其他使用）; 弩的制造、销售、进口、运输、使用 审批（制造、销售、进口、或营业性 射击场开设弩射项目）;道路货运经营 许可;弩的制造、销售、进口、运输、 使用审批（运输、除营业性射击场开 设弩射项目外的其他使用）; 道路旅客运输经营许可 （含国际道路）、道路货 运经营许可（不包含总质 量4500千克及以下普通货 运车辆从事普通货运经 营）、危险货物运输经营
G2012	道路旅客运输站经营	5441客运汽车站 道路旅客运输站经营	道路旅客运输站经营 5441客运汽车站 道路旅客运输站经营许可; 道路旅客运输站经营许可 道路旅客运输经营许可 （含国际道路）、道路货 运经营许可（不包含总质 量4500千克及以下普通货
G2013	道路货物运输站经营	5442货运枢纽（站）	道路货物运输站经营 5442货运枢纽（站）
G2014	共享自行车服务	5414公共自行车服务	共享自行车服务 5414公共自行车服务
G2015	公路管理与养护	5443公路管理与养护 公路养护作业单位资质	公路管理与养护 5443公路管理与养护 公路养护作业单位资质审批; 公路养护作业单位资质审批 公路工程施工、公路水运 工程监理企业资质、公路
G2016	停车场服务	5449其他道路运输辅助活动	停车场服务 5449其他道路运输辅助活动
G2017	运输货物打包服务	5449其他道路运输辅助活动	运输货物打包服务 5449其他道路运输辅助活动
G2018	国际道路货物运输	543道路货物运输 道路货运经营	国际道路货物运输 543道路货物运输 道路货运经营许可; 道路货运经营许可 道路旅客运输经营许可 （含国际道路）、道路货 运经营许可（不包含总质 量4500千克及以下普通货
G2019	城市配送运输服务（不含危险 货物）	5437城市配送 道路货运经营	城市配送运输服务（不含危险 货物） 5437城市配送 道路货运经营许可; 道路货运经营许可 道路旅客运输经营许可 （含国际道路）、道路货 运经营许可（不包含总质 量4500千克及以下普通货
G2020	非急救转运服务	5429其他公路客运 道路旅客运输经营	非急救转运服务 5429其他公路客运 道路旅客运输经营许可; 道路旅客运输经营许可; 道路旅客运输经营许可 （含国际道路）、道路货 运经营许可（不包含总质 量4500千克及以下普通货
G2021	电子过磅服务	5449其他道路运输辅助活动	电子过磅服务 5449其他道路运输辅助活动
G2022	校车运营服务	541城市公共交通运输；542公路旅客运输 道路旅客运输经营	校车运营服务 541城市公共交通运输；542公路旅客运输 道路旅客运输经营许可; 道路旅客运输经营许可 道路旅客运输经营许可 （含国际道路）、道路货 运经营许可（不包含总质 量4500千克及以下普通货
G3004	大陆与台湾间海上运输	5511海上旅客运输；5513客运轮渡运输；5522沿海货物运输 从事内地与台湾、港澳间海上运输业务	大陆与台湾间海上运输 5511海上旅客运输；5513客运轮渡运输；5522沿海货物运输 从事内地与台湾、港澳间海上运输业务 许可;从事大陆与台湾间海上运输业务 许可（初审）;从事大陆与台湾间海上 运输业务许可; 从事内地与台湾、港澳间海上运输业 务许可;从事大陆与台湾间海上运输业 务许可（初审）（自贸区适用）;从事 大陆与台湾间海上运输业务许可;； 大陆与台湾间海上运输业 务审批；内地与港澳间客 船、液体散装危险品船运 输业务
G3005	国际班轮运输	5511海上旅客运输；551远洋货物运输 国际海上运输业务及海运辅助业务经营	国际班轮运输 5511海上旅客运输；551远洋货物运输 国际海上运输业务及海运辅助业务经营 审批;国际客船、散装液体危险品船运 输业务经营审批;国际客船、散装液体 危险品船运输业务经营审批（初审）; 国际班轮运输业务经营审批; 国际海上运输业务及海运辅助业务经 营审批;国际客船、散装液体危险品船 运输业务经营审批;国际客船、散装液 体危险品船运输业务经营审批（初 审）（自贸区适用）;国际班轮运输业 务经营审批;； 国内水路运输经营许可； 国际客船、散装液体危险 品船运输业务及国际班轮 运输业务审批
G3006	港口经营	5531客运港口；5532货运港口 国际海上运输业务及海运辅助业务经营	港口经营 5531客运港口；5532货运港口 国际海上运输业务及海运辅助业务经营 审批;港口（旅客、危险货物）经营许 可;港口（涉及客运和危险货物港口作 业的经营项目除外）经营许可;港口设 施保安证书核发; 国际海上运输业务及海运辅助业务经 营审批港口（旅客、危险货物）经营 许可港口（涉及客运和危险货物港口 作业的经营项目除外）经营许可港口 设施保安证书核发 从事港口经营资质许可； 港口危险货物作业的建设 项目安全条件审查
G3007	港口理货	5531客运港口；5532货运港口 经营港口理货业务	港口理货 5531客运港口；5532货运港口 经营港口理货业务许可 经营港口理货业 务许可;
G3008	国内船舶管理业务	5539其他水上运输辅助活动 经营国内船舶管理业务	国内船舶管理业务 5539其他水上运输辅助活动 经营国内船舶管理业务审批; 经营国内船舶管理业务审批 国内船舶管理业务经营许
G3009	国际船舶管理业务	5539其他水上运输辅助活动	国际船舶管理业务 5539其他水上运输辅助活动
G3010	船舶引航服务	5539其他水上运输辅助活动 设立引航机构	船舶引航服务 5539其他水上运输辅助活动 设立引航机构审批; 设立引航机构审批 航道通航条件影响评价审
G3011	船舶检验服务	5539其他水上运输辅助活动 设立验船机构	船舶检验服务 5539其他水上运输辅助活动 设立验船机构审批; 设立验船机构审批
G3012	打捞服务	5539其他水上运输辅助活动；5611航空旅客运输；5612航空 货物运输；7721水污染治理	打捞服务 5539其他水上运输辅助活动；5611航空旅客运输；5612航空 货物运输；7721水污染治理
G3013	省际普通货船运输、省内船舶 运输	5511海上旅客运输；5512内河旅客运输；5513客运轮渡运 输；5522沿海货物运输；5523内河货物运输 外商投资企业经营沿海、江河、湖泊及 其他通航水域水路运输	省际普通货船运输、省内船舶 运输 5511海上旅客运输；5512内河旅客运输；5513客运轮渡运 输；5522沿海货物运输；5523内河货物运输 外商投资企业经营沿海、江河、湖泊及 其他通航水域水路运输审批;国内水路 运输业务经营许可; 外商投资企业经营沿海、江河、湖泊 及其他通航水域水路运输审批国内水 路运输业务经营许可 禁止使用外国籍船舶经营 国内水路运输业务（经交 通运输部特殊批准情形、 中资方便旗船舶从事国内 《外资负面清单》国内水上运输公司须由中方控股。
G3014	省际客船、危险品船运输	5511海上旅客运输；5512内河旅客运输；5513客运轮渡运 输；5522沿海货物运输；5523内河货物运输 国内水路运输业务经营	省际客船、危险品船运输 5511海上旅客运输；5512内河旅客运输；5513客运轮渡运 输；5522沿海货物运输；5523内河货物运输 国内水路运输业务经营许可;省际旅客 、危险品货物水路运输许可; 国内水路运输业务经营许可省际旅客 、危险品货物水路运输许可 禁止使用外国籍船舶经营 国内水路运输业务（经交 通运输部特殊批准情形、 中资方便旗船舶从事国内 《外资负面清单》国内水上运输公司须由中方控股。
G3015	从事内地与港澳间客船、散装 液体危险品船运输	551海上旅客运输；553客运轮渡运输；5522沿海货物运输 从事内地与台湾、港澳间海上运输业务	从事内地与港澳间客船、散装 液体危险品船运输 551海上旅客运输；553客运轮渡运输；5522沿海货物运输 从事内地与台湾、港澳间海上运输业务 许可;从事内地与港澳间客船、散装液 体危险品船运输业务许可; 从事内地与台湾、港澳间海上运输业 务许可从事内地与港澳间客船、散装 液体危险品船运输业务许可 大陆与台湾间海上运输业 务审批；内地与港澳间客 船、液体散装危险品船运 《外资负面清单》国内水上运输公司须由中方控股。
G3016	从事内地与港澳间集装箱船、 普通货船运输	5511海上旅客运输；513客运轮渡运输；5522沿海货物运输 从事内地与港澳间集装箱船、普通货 船运输业务	从事内地与港澳间集装箱船、 普通货船运输 5511海上旅客运输；513客运轮渡运输；5522沿海货物运输 从事内地与港澳间集装箱船、普通货 船运输业务许可 从事内地与港澳 间集装箱船、普 通货船运输业务 许可;
G3017	国际客船、散装液体危险品船 运输	5511海上旅客运输；5521远洋货物运输 国际客船、散装液体危险品船运输业务 经营	国际客船、散装液体危险品船 运输 5511海上旅客运输；5521远洋货物运输 国际客船、散装液体危险品船运输业务 经营审批（初审）;国际客船、散装液 体危险品船运输业务经营审批;国际海 上运输业务及海运辅助业务经营审批; 国际客船、散装液体危险品船运输业 务经营审批（初审）（自贸区适用）; 国际客船、散装液体危险品船运输业 务经营审批;国际海上运输业务及海运 辅助业务经营审批;； 国内水路运输经营许可； 国际客船、散装液体危险 品船运输业务及国际班轮 运输业务审批
G3018	从事国际集装箱船、普通货船 运输	5521远洋货物运输 国际集装箱船、普通货船运输业务审 批 国际集装箱船、 普通货船运输业 务	从事国际集装箱船、普通货船 运输 5521远洋货物运输 国际集装箱船、普通货船运输业务审 批 国际集装箱船、 普通货船运输业 务审批;
G3019	无船承运业务	5521远洋货物运输 无船承运业务 无船承运业务;	无船承运业务 5521远洋货物运输 无船承运业务 无船承运业务;
G3020	口岸外轮供应	551水上旅客运输；552水上货物运输；5531客运港口；5532 货运港口	口岸外轮供应 551水上旅客运输；552水上货物运输；5531客运港口；5532 货运港口
G3021	国内水路旅客运输	55水上运输业；58多式联运和运输代理业；59装卸搬运和仓 储业；60邮政业 国内水路运输业务经营	国内水路旅客运输 55水上运输业；58多式联运和运输代理业；59装卸搬运和仓 储业；60邮政业 国内水路运输业务经营许可; 国内水路运输业务经营许可 禁止使用外国籍船舶经营 国内水路运输业务（经交 通运输部特殊批准情形、 中资方便旗船舶从事国内
G3022	水路危险货物运输	552水上货物运输 外商投资企业经营沿海、江河、湖泊及 其他通航水域水路运输	水路危险货物运输 552水上货物运输 外商投资企业经营沿海、江河、湖泊及 其他通航水域水路运输审批;国内水路 运输业务经营许可;危险货物运输经营 许可; 外商投资企业经营沿海、江河、湖泊 及其他通航水域水路运输审批国内水 路运输业务经营许可危险货物运输经 营许可 禁止使用外国籍船舶经营 国内水路运输业务（经交 通运输部特殊批准情形、 中资方便旗船舶从事国内
G3023	水路普通货物运输	552水上货物运输；581多式联运 外商投资企业经营沿海、江河、湖泊及 其他通航水域水路运输	水路普通货物运输 552水上货物运输；581多式联运 外商投资企业经营沿海、江河、湖泊及 其他通航水域水路运输审批;国内水路 运输业务经营许可; 外商投资企业经营沿海、江河、湖泊 及其他通航水域水路运输审批国内水 路运输业务经营许可 禁止使用外国籍船舶经营 国内水路运输业务（经交 通运输部特殊批准情形、 中资方便旗船舶从事国内
G3024	船舶港口服务	553水上运输辅助活动	船舶港口服务 553水上运输辅助活动
G3025	港口设施设备和机械租赁维修 业务	553水上运输辅助活动	港口设施设备和机械租赁维修 业务 553水上运输辅助活动
G3026	渔港经营	5532货运港口	渔港经营 5532货运港口
G3027	海上国际货物运输代理	5821货物运输代理；5829其他运输代理业； 国际货运代理企业备案 国际货运代理企 业备案;	海上国际货物运输代理 5821货物运输代理；5829其他运输代理业； 国际货运代理企业备案 国际货运代理企 业备案;
G4001	公共航空运输	5611航空旅客运输；5612航空货物运输 航空营运人运输危险品资格批准;公共 航空运输企业经营	公共航空运输 5611航空旅客运输；5612航空货物运输 航空营运人运输危险品资格批准;公共 航空运输企业经营许可;中外航空运输 企业航线（航班运输）经营许可;中外 公共航空运输承运人运行合格证核发; 航空营运人运输危险品资格批准公共 航空运输企业经营许可中外航空运输 企业航线（航班运输）经营许可中外 公共航空运输承运人运行合格证核发 航空营运人运输危险品资 格批准；公共航空运输企 业经营许可；公共航空运 输企业航线（航班运输） 《外资负面清单》公共航空运输公司须由中方控股，且一家外商及其关联企业投资比例不得超过 25%，法定代表人须由中国籍公民担任。
G4003	商业非运输、私用大型航空器 运营人、航空器代管人运行业	5621通用航空生产服务 商业非运输运营人、私用大型航空器运 营人、航空器代管人运行合格证	商业非运输、私用大型航空器 运营人、航空器代管人运行业 5621通用航空生产服务 商业非运输运营人、私用大型航空器运 营人、航空器代管人运行合格证核发; 商业非运输运营人、私用大型航空器 运营人、航空器代管人运行合格证核 大型飞机公共航空运输承 运人运行合格审定
G4004	通用航空服务	5621通用航空生产服务；5622观光游览航空服务；5623体育 航空运动服务；5629其他通用航空服务 通用航空企业经营	通用航空服务 5621通用航空生产服务；5622观光游览航空服务；5623体育 航空运动服务；5629其他通用航空服务 通用航空企业经营许可; 通用航空企业经营许可 通用航空经营许可 《外资负面清单》通用航空公司的法定代表人须由中国籍公民担任，其中农、林、渔业通用航空公 司限于合资，其他通用航空公司限于中方控股。
G4005	升放无人驾驶气球，系留气球	5622观光游览航空服务 升放无人驾驶自由气球、系留气球单位 资质认定; 升放无人驾驶自由气球、系留气球单 位资质认定; 升放无人驾驶自由气球或 者系留气球活动	升放无人驾驶气球，系留气球 5622观光游览航空服务 升放无人驾驶自由气球、系留气球单位 资质认定; 升放无人驾驶自由气球、系留气球单 位资质认定; 升放无人驾驶自由气球或 者系留气球活动审批；升 放无人驾驶自由气球、系 《外资负面清单》通用航空公司的法定代表人须由中国籍公民担任，其中农、林、渔业通用航空公 司限于合资，其他通用航空公司限于中方控股。
G4006	民用机场经营	5631机场；5632空中交通管理 设立国际机场	民用机场经营 5631机场；5632空中交通管理 设立国际机场审批;对公众开放的民用 机场使用许可证核发; 设立国际机场审批对公众开放的民用 机场使用许可证核发 规定权限内对新建、改建 和扩建民用机场的审批和 《外资负面清单》民用机场的建设、经营须由中方相对控股。
G4007	航空运输货物打包服务	5639其他航空运输辅助活动	航空运输货物打包服务 5639其他航空运输辅助活动
G4008	民用航空油料储运及加注油服 务	5639其他航空运输辅助活动 民用航空油料供应商适航批准;民用航 空油料企业安全运营	民用航空油料储运及加注油服 务 5639其他航空运输辅助活动 民用航空油料供应商适航批准;民用航 空油料企业安全运营许可; 民用航空油料供应商适航批准民用航 空油料企业安全运营许可 民用航空油料供应商适航 批准书、油料测试单位批
G4009	民用航空油料检测服务	5639其他航空运输辅助活动 民用航空油料测试单位批准; 民用航空油料测试单位批准 民用航空油料供应商适航 批准书、油料测试单位批	民用航空油料检测服务 5639其他航空运输辅助活动 民用航空油料测试单位批准; 民用航空油料测试单位批准 民用航空油料供应商适航 批准书、油料测试单位批
G5001	海底管道运输服务	5710海底管道运输	海底管道运输服务 5710海底管道运输
G5002	陆地管道运输	5720陆地管道运输	陆地管道运输 5720陆地管道运输
G6001	国内货物运输代理	5821货物运输代理；5829其他运输代理业；581多式联运	国内货物运输代理 5821货物运输代理；5829其他运输代理业；581多式联运
G6003	国际货物运输代理	5821货物运输代理；5829其他运输代理业；581多式联运 国际货运代理企业备案 国际货运代理企 业备案;	国际货物运输代理 5821货物运输代理；5829其他运输代理业；581多式联运 国际货运代理企业备案 国际货运代理企 业备案;
G6004	旅客票务代理	5822旅客票务代理	旅客票务代理 5822旅客票务代理
G6005	国内船舶代理	5821货物运输代理；5829其他运输代理业 国内船舶代理业务	国内船舶代理 5821货物运输代理；5829其他运输代理业 国内船舶代理业务审批 国内船舶代理业 务审批;
G6006	国际船舶代理	5539其他水上运输辅助活动 国际船舶代理业务	国际船舶代理 5539其他水上运输辅助活动 国际船舶代理业务审批 国际船舶代理业 务审批;
G6007	航空国际货物运输代理	561航空客货运输；562通用航空服务；581多式联运；591装 卸搬运；592通用仓储；593低温仓储；594危险品仓储；595 谷物、棉花等农产品仓储；596中药材仓储；601邮政基本服 务；602快递服务；5631机场；5632空中交通管理；5821货物 运输代理；5822旅客票务代理 国际货运代理企业备案 国际货运代理企 业备案;	航空国际货物运输代理 561航空客货运输；562通用航空服务；581多式联运；591装 卸搬运；592通用仓储；593低温仓储；594危险品仓储；595 谷物、棉花等农产品仓储；596中药材仓储；601邮政基本服 务；602快递服务；5631机场；5632空中交通管理；5821货物 运输代理；5822旅客票务代理 国际货运代理企业备案 国际货运代理企 业备案;
G6008	陆路国际货物运输代理	54道路运输业；57管道运输业；58多式联运和运输代理业； 59装卸搬运和仓储业；60邮政业；53铁路运输业 国际货运代理企业备案 国际货运代理企 业备案;	陆路国际货物运输代理 54道路运输业；57管道运输业；58多式联运和运输代理业； 59装卸搬运和仓储业；60邮政业；53铁路运输业 国际货运代理企业备案 国际货运代理企 业备案;
G7001	装卸搬运	5910装卸搬运	装卸搬运 5910装卸搬运
G7002	粮油仓储服务	5920通用仓储；5930低温仓储；5951谷物仓储；5952棉花仓 储；5959其他农产品仓储；5960中药材仓储；5990其他仓储 粮油仓储企业备案 粮油仓储企业备 案;	粮油仓储服务 5920通用仓储；5930低温仓储；5951谷物仓储；5952棉花仓 储；5959其他农产品仓储；5960中药材仓储；5990其他仓储 粮油仓储企业备案 粮油仓储企业备 案;
G7003	原油仓储	5941油气仓储 新建、改建、扩建生产、储存危险化学 品（包括使用长输管道输送危险化学 品）建设项目安全条件审查;新建、改 建、扩建储存、装卸危险化学品的港口 建设项目安全条件审查; 新建、改建、扩建生产、储存危险化 学品（包括使用长输管道输送危险化 学品）建设项目安全条件审查新建、 改建、扩建储存、装卸危险化学品的 港口建设项目安全条件审查 新建、改建、扩建危险化 学品生产、储存的建设项 目以及伴有危险化学品产 生的化工建设项目（包括 危险化学品长输管道建设	原油仓储 5941油气仓储 新建、改建、扩建生产、储存危险化学 品（包括使用长输管道输送危险化学 品）建设项目安全条件审查;新建、改 建、扩建储存、装卸危险化学品的港口 建设项目安全条件审查; 新建、改建、扩建生产、储存危险化 学品（包括使用长输管道输送危险化 学品）建设项目安全条件审查新建、 改建、扩建储存、装卸危险化学品的 港口建设项目安全条件审查 新建、改建、扩建危险化 学品生产、储存的建设项 目以及伴有危险化学品产 生的化工建设项目（包括 危险化学品长输管道建设
G7004	成品油仓储（限危险化学品）	5941油气仓储 新建、改建、扩建生产、储存危险化学 品（包括使用长输管道输送危险化学 品）建设项目安全条件审查;新建、改 建、扩建储存、装卸危险化学品的港口 建设项目安全条件审查; 新建、改建、扩建生产、储存危险化 学品（包括使用长输管道输送危险化 学品）建设项目安全条件审查;新建、 改建、扩建储存、装卸危险化学品的 港口建设项目安全条件审查;石油成品 油仓储经营资格	成品油仓储（限危险化学品） 5941油气仓储 新建、改建、扩建生产、储存危险化学 品（包括使用长输管道输送危险化学 品）建设项目安全条件审查;新建、改 建、扩建储存、装卸危险化学品的港口 建设项目安全条件审查; 新建、改建、扩建生产、储存危险化 学品（包括使用长输管道输送危险化 学品）建设项目安全条件审查;新建、 改建、扩建储存、装卸危险化学品的 港口建设项目安全条件审查;石油成品 油仓储经营资格审批（初审）;石油成 品油仓储经营资格审批（自贸区适 用）;石油成品油仓储经营资格审批; 新建、改建、扩建危险化 学品生产、储存的建设项 目以及伴有危险化学品产 生的化工建设项目（包括 危险化学品长输管道建设 项目）安全设施设计审 查；新建、改建、扩建从 事港口危险货物作业的建
G7005	危险化学品仓储	5942危险化学品仓储 新建、改建、扩建储存、装卸危险化学 品的港口建设项目安全条件审查;新建 、改建、扩建生产、储存危险化学品 （包括使用长输管道输送危险化学品） 建设项目安全条件审查; 新建、改建、扩建储存、装卸危险化 学品的港口建设项目安全条件审查新 建、改建、扩建生产、储存危险化学 品（包括使用长输管道输送危险化学 品）建设项目安全条件审查 新建、改建、扩建从事港 口危险货物作业的建设项 目安全设施设计审查；新 建、改建、扩建危险化学 品生产、储存的建设项目	危险化学品仓储 5942危险化学品仓储 新建、改建、扩建储存、装卸危险化学 品的港口建设项目安全条件审查;新建 、改建、扩建生产、储存危险化学品 （包括使用长输管道输送危险化学品） 建设项目安全条件审查; 新建、改建、扩建储存、装卸危险化 学品的港口建设项目安全条件审查新 建、改建、扩建生产、储存危险化学 品（包括使用长输管道输送危险化学 品）建设项目安全条件审查 新建、改建、扩建从事港 口危险货物作业的建设项 目安全设施设计审查；新 建、改建、扩建危险化学 品生产、储存的建设项目
G7006	石油、天然气管道储运	5941油气仓储；5710海底管道运输；5720陆地管道运输 跨省运营的石油天然气管道储运分 （子）公司安全生产	石油、天然气管道储运 5941油气仓储；5710海底管道运输；5720陆地管道运输 跨省运营的石油天然气管道储运分 （子）公司安全生产许可; 跨省运营的石油天然气管道储运分 （子）公司安全生产许可
G7007	核材料储存	5942危险化学品仓储 核材料	核材料储存 5942危险化学品仓储 核材料许可证核发; 核材料许可证核发 持有、使用、生产、储存 、运输和处置核材料（含
G7008	民用核材料储存	5942危险化学品仓储 民用核材料	民用核材料储存 5942危险化学品仓储 民用核材料许可证核准;新建、改建、 扩建生产、储存危险化学品（包括使用 长输管道输送危险化学品）建设项目安 全条件审查; 民用核材料许可证核准新建、改建、 扩建生产、储存危险化学品（包括使 用长输管道输送危险化学品）建设项 目安全条件审查 新建、改建、扩建危险化 学品生产、储存的建设项 目以及伴有危险化学品产 生的化工建设项目（包括
G7009	出口监管仓库经营	5990其他仓储业 出口监管仓库设立	出口监管仓库经营 5990其他仓储业 出口监管仓库设立审批; 出口监管仓库设立审批 设立保税仓库、出口监管 仓库、保税物流中心（A
G7010	海关监管货物仓储服务（不含 危险化学品）	5990其他仓储业 海关监管货物仓储	海关监管货物仓储服务（不含 危险化学品） 5990其他仓储业 海关监管货物仓储审批; 海关监管货物仓储审批 设立海关监管货物仓储资 格审批
G7011	保税仓库经营	5990其他仓储业 保税仓库设立	保税仓库经营 5990其他仓储业 保税仓库设立审批; 保税仓库设立审批 设立保税仓库、出口监管 仓库、保税物流中心（A
G7012	普通货物仓储服务（不含危险 化学品等需许可审批的项目）	591装卸搬运；592通用仓储；593低温仓储；594危险品仓 储；595谷物、棉花等农产品仓储；596中药材仓储	普通货物仓储服务（不含危险 化学品等需许可审批的项目） 591装卸搬运；592通用仓储；593低温仓储；594危险品仓 储；595谷物、棉花等农产品仓储；596中药材仓储
G7014	成品油仓储（不含危险化学 品）	5941油气仓储 石油成品油仓储经营资格	成品油仓储（不含危险化学 品） 5941油气仓储 石油成品油仓储经营资格审批（自贸 区适用）石油成品油仓储经营资格审 批（初审）（自贸区适用）石油成品 油仓储经营资格审批（初审）石油成 品油仓储经营资格审批
G7015	港口货物装卸搬运活动	591装卸搬运 经营港口理货业务	港口货物装卸搬运活动 591装卸搬运 经营港口理货业务许可; 经营港口理货业 务许可;
G7016	低温仓储（不含危险化学品等 需许可审批的项目）	593低温仓储	低温仓储（不含危险化学品等 需许可审批的项目） 593低温仓储
G7017	装卸搬运和运输代理业（不包 括航空客货运代理服务）	591装卸搬运	装卸搬运和运输代理业（不包 括航空客货运代理服务） 591装卸搬运
G8001	邮政基本服务	6010邮政基本服务 经营邮政通信业务	邮政基本服务 6010邮政基本服务 经营邮政通信业务审批; 经营邮政通信业务审批 经营邮政通信业务审批 《外资负面清单》禁止投资邮政公司、信件的国内快递业务。
G8002	快递服务	6020快递服务；6090其他寄递服务； 快递业务经营	快递服务 6020快递服务；6090其他寄递服务； 快递业务经营许可; 快递业务经营许可 快递业务经营许可； 《外资负面清单》禁止投资邮政公司、信件的国内快递业务。
G8003	邮件寄递服务	6090其他寄递服务 经营邮政通信业务	邮件寄递服务 6090其他寄递服务 经营邮政通信业务审批; 经营邮政通信业务审批 经营邮政通信业务审批 《外资负面清单》禁止投资邮政公司、信件的国内快递业务。
H1001	住宿服务	6110旅游饭店；6121经济型连锁酒店；6129其他一般旅馆； 6130民宿服务 旅馆业特种行业	住宿服务 6110旅游饭店；6121经济型连锁酒店；6129其他一般旅馆； 6130民宿服务 旅馆业特种行业许可证核发;公共场所 卫生许可; 旅馆业特种行业许可证核发公共场所 卫生许可 旅馆业特种行业许可证核 发
H1003	露营地服务	6140露营地服务	露营地服务 6140露营地服务
H1004	经营民宿	613民宿服务	经营民宿 613民宿服务
H2001	外卖递送服务	624餐饮配送及外卖送餐服务；6090其他寄递服务；	外卖递送服务 624餐饮配送及外卖送餐服务；6090其他寄递服务；
